id_original,nombre,categoria,id_color,color,id_talla,talla,precio_color,precio_base,precio_oferta,stock,imagenes_color
26,Pantalón Jean Flare,Pantalones,71,tono 1,47,32,95.0,95.0,,,https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg | https://euchelperu.com/images/productos/175858670516744232052852.jpg
26,Pantalón Jean Flare,Pantalones,71,tono 1,786,34,95.0,95.0,,,https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg | https://euchelperu.com/images/productos/175858670516744232052852.jpg
26,Pantalón Jean Flare,Pantalones,72,tono 2,49,28,95.0,95.0,,,https://euchelperu.com/images/productos/175858670516744232052852.jpg | https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg
26,Pantalón Jean Flare,Pantalones,72,tono 2,50,30,95.0,95.0,,,https://euchelperu.com/images/productos/175858670516744232052852.jpg | https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg
26,Pantalón Jean Flare,Pantalones,72,tono 2,51,32,95.0,95.0,,,https://euchelperu.com/images/productos/175858670516744232052852.jpg | https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg
26,Pantalón Jean Flare,Pantalones,72,tono 2,787,34,95.0,95.0,,,https://euchelperu.com/images/productos/175858670516744232052852.jpg | https://euchelperu.com/images/productos/175709732879665243188938.jpg | https://euchelperu.com/images/productos/175858673373738400749393.jpg
28,Pantalón Jean Wide Leg Vintage,Pantalones,76,Único,62,24,95.0,95.0,,,https://euchelperu.com/images/productos/175709222113467341082752.jpg
28,Pantalón Jean Wide Leg Vintage,Pantalones,76,Único,63,26,95.0,95.0,,,https://euchelperu.com/images/productos/175709222113467341082752.jpg
28,Pantalón Jean Wide Leg Vintage,Pantalones,76,Único,64,28,95.0,95.0,,,https://euchelperu.com/images/productos/175709222113467341082752.jpg
28,Pantalón Jean Wide Leg Vintage,Pantalones,76,Único,65,30,95.0,95.0,,,https://euchelperu.com/images/productos/175709222113467341082752.jpg
28,Pantalón Jean Wide Leg Vintage,Pantalones,76,Único,66,32,95.0,95.0,,,https://euchelperu.com/images/productos/175709222113467341082752.jpg
28,Pantalón Jean Wide Leg Vintage,Pantalones,76,Único,782,34,95.0,95.0,,,https://euchelperu.com/images/productos/175709222113467341082752.jpg
29,Pantalón Wide Reverse Nebula,Pantalones,77,Único,67,26,95.0,95.0,,,https://euchelperu.com/images/productos/175709183167430740737481.jpg
29,Pantalón Wide Reverse Nebula,Pantalones,77,Único,68,28,95.0,95.0,,,https://euchelperu.com/images/productos/175709183167430740737481.jpg
29,Pantalón Wide Reverse Nebula,Pantalones,77,Único,776,30,95.0,95.0,,,https://euchelperu.com/images/productos/175709183167430740737481.jpg
29,Pantalón Wide Reverse Nebula,Pantalones,77,Único,777,32,95.0,95.0,,,https://euchelperu.com/images/productos/175709183167430740737481.jpg
29,Pantalón Wide Reverse Nebula,Pantalones,77,Único,778,34,95.0,95.0,,,https://euchelperu.com/images/productos/175709183167430740737481.jpg
30,Pantalón Star Nebula,Pantalones,78,Único,69,26,95.0,95.0,,,https://euchelperu.com/images/productos/175709217149237368457171.jpg
30,Pantalón Star Nebula,Pantalones,78,Único,70,28,95.0,95.0,,,https://euchelperu.com/images/productos/175709217149237368457171.jpg
30,Pantalón Star Nebula,Pantalones,78,Único,779,30,95.0,95.0,,,https://euchelperu.com/images/productos/175709217149237368457171.jpg
30,Pantalón Star Nebula,Pantalones,78,Único,780,32,95.0,95.0,,,https://euchelperu.com/images/productos/175709217149237368457171.jpg
30,Pantalón Star Nebula,Pantalones,78,Único,781,34,95.0,95.0,,,https://euchelperu.com/images/productos/175709217149237368457171.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,81,tono 1,79,26,95.0,95.0,,,https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,81,tono 1,80,28,95.0,95.0,,,https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,81,tono 1,81,30,95.0,95.0,,,https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,81,tono 1,82,32,95.0,95.0,,,https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,81,tono 1,771,34,95.0,95.0,,,https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,82,tono 2,83,26,95.0,95.0,,,https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,82,tono 2,84,28,95.0,95.0,,,https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,82,tono 2,85,30,95.0,95.0,,,https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,82,tono 2,86,32,95.0,95.0,,,https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,82,tono 2,772,34,95.0,95.0,,,https://euchelperu.com/images/productos/175857160051120162592182.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175858644723297838148653.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,83,tono 3,87,26,95.0,95.0,,,https://euchelperu.com/images/productos/175858644723297838148653.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,83,tono 3,88,28,95.0,95.0,,,https://euchelperu.com/images/productos/175858644723297838148653.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,83,tono 3,89,30,95.0,95.0,,,https://euchelperu.com/images/productos/175858644723297838148653.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,83,tono 3,90,32,95.0,95.0,,,https://euchelperu.com/images/productos/175858644723297838148653.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg
32,Pantalón Jean Wide Leg Cadera,Pantalones,83,tono 3,773,34,95.0,95.0,,,https://euchelperu.com/images/productos/175858644723297838148653.jpg | https://euchelperu.com/images/productos/17569358036643519880675.jpg | https://euchelperu.com/images/productos/175857160051120162592182.jpg
33,Pantalón cadera Ivanna,Pantalones,84,1,91,26,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,84,1,92,28,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,84,1,93,30,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,84,1,94,32,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,84,1,769,34,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,85,2,95,26,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,85,2,96,28,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,85,2,97,30,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,85,2,98,32,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
33,Pantalón cadera Ivanna,Pantalones,85,2,770,34,95.0,95.0,,,https://euchelperu.com/images/productos/175709202608687840388511.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,89,tono 1,108,24,95.0,95.0,,,https://euchelperu.com/images/productos/175693561964049418742118.jpg | https://euchelperu.com/images/productos/17585706423129011242831.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,89,tono 1,109,26,95.0,95.0,,,https://euchelperu.com/images/productos/175693561964049418742118.jpg | https://euchelperu.com/images/productos/17585706423129011242831.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,89,tono 1,110,28,95.0,95.0,,,https://euchelperu.com/images/productos/175693561964049418742118.jpg | https://euchelperu.com/images/productos/17585706423129011242831.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,89,tono 1,111,30,95.0,95.0,,,https://euchelperu.com/images/productos/175693561964049418742118.jpg | https://euchelperu.com/images/productos/17585706423129011242831.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,89,tono 1,112,32,95.0,95.0,,,https://euchelperu.com/images/productos/175693561964049418742118.jpg | https://euchelperu.com/images/productos/17585706423129011242831.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,89,tono 1,762,34,95.0,95.0,,,https://euchelperu.com/images/productos/175693561964049418742118.jpg | https://euchelperu.com/images/productos/17585706423129011242831.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,90,tono 2,113,24,95.0,95.0,,,https://euchelperu.com/images/productos/17585706423129011242831.jpg | https://euchelperu.com/images/productos/175693561964049418742118.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,90,tono 2,114,26,95.0,95.0,,,https://euchelperu.com/images/productos/17585706423129011242831.jpg | https://euchelperu.com/images/productos/175693561964049418742118.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,90,tono 2,115,28,95.0,95.0,,,https://euchelperu.com/images/productos/17585706423129011242831.jpg | https://euchelperu.com/images/productos/175693561964049418742118.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,90,tono 2,116,30,95.0,95.0,,,https://euchelperu.com/images/productos/17585706423129011242831.jpg | https://euchelperu.com/images/productos/175693561964049418742118.jpg
35,Pantalon Jean Cadera Culotte,Pantalones,90,tono 2,117,32,95.0,95.0,,,https://euchelperu.com/images/productos/17585706423129011242831.jpg | https://euchelperu.com/images/productos/175693561964049418742118.jpg
